"cell_id"	"label 1"	"label 2"	"score 1"	"score 2"
"ERR2632411"	"memory B cell"	"memory B cell"	0.831663277426911	0.831663277426911
"ERR2632412"	"memory B cell"	"memory B cell"	0.848108686952706	0.848108686952706
"ERR2632413"	"memory B cell"	"memory B cell"	0.854108436312185	0.854108436312185
"ERR2632414"	"memory B cell"	"memory B cell"	0.852451712398922	0.852451712398922
"ERR2632415"	"memory B cell"	"memory B cell"	0.849710429889607	0.849710429889607
"ERR2632416"	"memory B cell"	"memory B cell"	0.831471497122148	0.831471497122148
"ERR2632417"	"memory B cell"	"memory B cell"	0.843478306887263	0.843478306887263
"ERR2632418"	"memory B cell"	"memory B cell"	0.842090930642718	0.842090930642718
"ERR2632419"	"plasmablast"	"plasmablast"	0.873449221725384	0.873449221725384
"ERR2632420"	"memory B cell"	"memory B cell"	0.826245174158972	0.826245174158972
"ERR2632421"	"memory B cell"	"memory B cell"	0.834997966990917	0.834997966990917
"ERR2632422"	"memory B cell"	"memory B cell"	0.860696237060201	0.860696237060201
"ERR2632423"	"unassigned"	"unassigned"	NA	NA
"ERR2632424"	"memory B cell"	"memory B cell"	0.844406706310667	0.844406706310667
"ERR2632425"	"memory B cell"	"memory B cell"	0.857610337370845	0.857610337370845
"ERR2632426"	"unassigned"	"unassigned"	NA	NA
"ERR2632427"	"memory B cell"	"memory B cell"	0.843804469466436	0.843804469466436
"ERR2632428"	"memory B cell"	"memory B cell"	0.854325671546897	0.854325671546897
"ERR2632429"	"unassigned"	"unassigned"	NA	NA
"ERR2632430"	"unassigned"	"unassigned"	NA	NA
"ERR2632431"	"memory B cell"	"memory B cell"	0.833879694138558	0.833879694138558
"ERR2632432"	"memory B cell"	"memory B cell"	0.862597983064412	0.862597983064412
"ERR2632433"	"memory B cell"	"memory B cell"	0.839079969003954	0.839079969003954
"ERR2632434"	"unassigned"	"unassigned"	NA	NA
"ERR2632435"	"unassigned"	"unassigned"	NA	NA
"ERR2632436"	"memory B cell"	"memory B cell"	0.819313444127493	0.819313444127493
"ERR2632437"	"unassigned"	"unassigned"	NA	NA
"ERR2632438"	"unassigned"	"unassigned"	NA	NA
"ERR2632439"	"unassigned"	"unassigned"	NA	NA
"ERR2632440"	"unassigned"	"unassigned"	NA	NA
"ERR2632441"	"unassigned"	"unassigned"	NA	NA
"ERR2632442"	"unassigned"	"unassigned"	NA	NA
"ERR2632443"	"unassigned"	"unassigned"	NA	NA
"ERR2632444"	"unassigned"	"unassigned"	NA	NA
"ERR2632445"	"transitional stage B cell"	"transitional stage B cell"	0.834319072549594	0.834319072549594
"ERR2632446"	"naive B cell"	"naive B cell"	0.846294106664066	0.846294106664066
"ERR2632447"	"unassigned"	"unassigned"	NA	NA
"ERR2632448"	"unassigned"	"unassigned"	NA	NA
"ERR2632449"	"transitional stage B cell"	"transitional stage B cell"	0.841756079646281	0.841756079646281
"ERR2632450"	"unassigned"	"unassigned"	NA	NA
"ERR2632451"	"unassigned"	"unassigned"	NA	NA
"ERR2632452"	"unassigned"	"unassigned"	NA	NA
"ERR2632453"	"unassigned"	"unassigned"	NA	NA
"ERR2632454"	"unassigned"	"unassigned"	NA	NA
"ERR2632455"	"unassigned"	"unassigned"	NA	NA
"ERR2632456"	"unassigned"	"unassigned"	NA	NA
"ERR2632457"	"unassigned"	"unassigned"	NA	NA
"ERR2632458"	"naive B cell"	"naive B cell"	0.825529970370048	0.825529970370048
"ERR2632459"	"naive B cell"	"naive B cell"	0.843988186182759	0.843988186182759
"ERR2632460"	"unassigned"	"unassigned"	NA	NA
"ERR2632461"	"unassigned"	"unassigned"	NA	NA
"ERR2632462"	"unassigned"	"unassigned"	NA	NA
"ERR2632463"	"unassigned"	"unassigned"	NA	NA
"ERR2632464"	"unassigned"	"unassigned"	NA	NA
"ERR2632465"	"unassigned"	"unassigned"	NA	NA
"ERR2632466"	"unassigned"	"unassigned"	NA	NA
"ERR2632467"	"unassigned"	"unassigned"	NA	NA
"ERR2632468"	"naive B cell"	"naive B cell"	0.820915992484789	0.820915992484789
"ERR2632469"	"unassigned"	"unassigned"	NA	NA
"ERR2632470"	"unassigned"	"unassigned"	NA	NA
"ERR2632471"	"plasmablast"	"plasmablast"	0.911726970697947	0.911726970697947
"ERR2632472"	"plasmablast"	"plasmablast"	0.912805391863635	0.912805391863635
"ERR2632473"	"plasmablast"	"plasmablast"	0.897391019994338	0.897391019994338
"ERR2632474"	"plasmablast"	"plasmablast"	0.835410900156914	0.835410900156914
"ERR2632475"	"plasmablast"	"plasmablast"	0.872190282432275	0.872190282432275
"ERR2632476"	"plasmablast"	"plasmablast"	0.857372524033469	0.857372524033469
"ERR2632477"	"plasmablast"	"plasmablast"	0.781343817525831	0.781343817525831
"ERR2632478"	"plasmablast"	"plasmablast"	0.872074729592708	0.872074729592708
"ERR2632479"	"plasmablast"	"plasmablast"	0.921999812346955	0.921999812346955
"ERR2632480"	"plasmablast"	"plasmablast"	0.934248175064444	0.934248175064444
"ERR2632481"	"plasmablast"	"plasmablast"	0.904249976451137	0.904249976451137
"ERR2632482"	"plasmablast"	"plasmablast"	0.923201592427659	0.923201592427659
"ERR2632483"	"plasmablast"	"plasmablast"	0.939606903183585	0.939606903183585
"ERR2632484"	"plasmablast"	"plasmablast"	0.924869075162459	0.924869075162459
"ERR2632485"	"plasmablast"	"plasmablast"	0.881969571055572	0.881969571055572
"ERR2632486"	"plasmablast"	"plasmablast"	0.902794614834723	0.902794614834723
"ERR2632487"	"plasmablast"	"plasmablast"	0.921551007617075	0.921551007617075
"ERR2632488"	"plasmablast"	"plasmablast"	0.860555151401842	0.860555151401842
"ERR2632489"	"plasmablast"	"plasmablast"	0.932356282395355	0.932356282395355
